hidden_layers,hiden_units,num_epochs,batch_size,learning_rate,momentum,loss_func,data_scaling,activation_func,time,train_loss,validation_loss,test_loss,train_acc,validation_acc,test_acc
1,50,10,300,0.1,0.3,categorical_crossentropy,Normalize,tanh,3.28559947013855,1.841881649177631,1.8443114737280053,1.853296892405485,0.8054283857345581,0.8026143908500671,0.7840845584869385
1,50,10,300,0.1,0.5,categorical_crossentropy,Standardize,tanh,2.4584803581237793,0.15847067578779162,0.19001709060146918,0.2341166525233369,0.9663178324699402,0.9503268003463745,0.9376739263534546
1,50,10,300,0.1,0.5,categorical_crossentropy,Normalize,tanh,3.4418296813964844,1.5071805993897842,1.523647532587737,1.5252584585827724,0.8355134129524231,0.8196078538894653,0.8302726745605469
1,50,10,300,0.1,0.9,categorical_crossentropy,Standardize,tanh,2.399242401123047,0.0544657342238236,0.09536533741390003,0.1532974228735559,0.9862655401229858,0.9738562107086182,0.9471341371536255
1,50,10,300,0.1,0.9,categorical_crossentropy,Normalize,tanh,3.3199257850646973,0.3373493908120574,0.3516942888498306,0.39835506773817586,0.941137969493866,0.9372549057006836,0.910406231880188
1,50,10,300,0.5,0.3,categorical_crossentropy,Standardize,tanh,2.2925503253936768,0.08165371581726873,0.12189120632273699,0.1703201157222805,0.9836494326591492,0.9699346423149109,0.9460211396217346
1,50,10,300,0.5,0.3,categorical_crossentropy,Normalize,tanh,3.406514883041382,0.38501081874434506,0.40506302963674456,0.44966937630589165,0.9365598559379578,0.9372549057006836,0.910962700843811
1,50,10,300,0.5,0.5,categorical_crossentropy,Standardize,tanh,2.1476237773895264,0.06983916082847656,0.10510957904306112,0.1511940819283343,0.9852845072746277,0.9725490212440491,0.9493600726127625
1,50,10,300,0.5,0.5,categorical_crossentropy,Normalize,tanh,3.196866273880005,0.2763522549381905,0.2989514542755738,0.3387048955619103,0.9440811276435852,0.9477124214172363,0.920979380607605
1,50,10,300,0.5,0.9,categorical_crossentropy,Standardize,tanh,1.8834660053253174,0.008677512604653095,0.09202744975698247,0.15410500696435794,0.9996730089187622,0.9751634001731873,0.9565943479537964
1,50,10,300,0.5,0.9,categorical_crossentropy,Normalize,tanh,3.36016583442688,0.10484178339912659,0.12849374291261817,0.20968440065184235,0.9708960056304932,0.9686274528503418,0.9360044598579407
1,50,10,300,0.9,0.3,categorical_crossentropy,Standardize,tanh,2.297534942626953,0.040573320637211606,0.0880697171599452,0.1399904529791601,0.9947678446769714,0.9751634001731873,0.9571508169174194
1,50,10,300,0.9,0.3,categorical_crossentropy,Normalize,tanh,3.173349142074585,0.27162203412963487,0.2976850356151855,0.3435686933675871,0.9450621604919434,0.9411764740943909,0.915971040725708
1,50,10,300,0.9,0.5,categorical_crossentropy,Standardize,tanh,2.1872544288635254,0.031944969921154164,0.0720576161189991,0.1359390316253272,0.995421826839447,0.9816993474960327,0.9588202834129333
1,50,10,300,0.9,0.5,categorical_crossentropy,Normalize,tanh,3.2985501289367676,0.17553519750436666,0.19747325784825032,0.24869817769819322,0.9587966203689575,0.9607843160629272,0.9321090579032898
1,50,10,300,0.9,0.9,categorical_crossentropy,Standardize,tanh,2.0154149532318115,0.019547161427975197,0.14736891689259876,0.2040133771108765,0.9944407939910889,0.9620915055274963,0.9460211396217346
1,50,10,300,0.9,0.9,categorical_crossentropy,Normalize,tanh,3.048567056655884,0.10951187033047857,0.12455391683463567,0.21244973516217125,0.9659908413887024,0.9660130739212036,0.9393433332443237
1,50,50,128,0.1,0.3,categorical_crossentropy,Standardize,tanh,5.074478387832642,0.06150715590069074,0.10068076844114104,0.1487888670788169,0.9885545969009399,0.9764705896377563,0.9543684124946594
1,50,50,128,0.1,0.3,categorical_crossentropy,Normalize,tanh,7.291172027587891,0.203297591934491,0.22613352219653285,0.27374890484807224,0.9548724889755249,0.9594771265983582,0.9232053160667419
1,50,50,128,0.1,0.5,categorical_crossentropy,Standardize,tanh,4.732475757598877,0.026597235529659775,0.08681960271707936,0.14863719949387347,0.9970569014549255,0.9764705896377563,0.9543684124946594
1,50,50,128,0.1,0.5,categorical_crossentropy,Normalize,tanh,7.126929521560669,0.1640119937762004,0.18958878015575845,0.23354476883087014,0.9633747339248657,0.9620915055274963,0.9309961199760437
1,50,50,128,0.1,0.9,categorical_crossentropy,Standardize,tanh,4.947158098220825,0.003155938289971855,0.07335054806731885,0.14349643554169614,1.0,0.9830065369606018,0.9616026878356934
1,50,50,128,0.1,0.9,categorical_crossentropy,Normalize,tanh,6.117189168930054,0.0720767548357723,0.09972339881937099,0.16323740743401238,0.9820144176483154,0.9790849685668945,0.9476906061172485
1,50,50,128,0.5,0.3,categorical_crossentropy,Standardize,tanh,4.353808164596558,0.007878948001835454,0.07035475636716762,0.12812339156589708,1.0,0.9816993474960327,0.9616026878356934
1,50,50,128,0.5,0.3,categorical_crossentropy,Normalize,tanh,6.126189470291138,0.08973825509014903,0.10998338448261123,0.17368839578117407,0.9761281609535217,0.9790849685668945,0.9471341371536255
1,50,50,128,0.5,0.5,categorical_crossentropy,Standardize,tanh,4.8940300941467285,0.007148326087092519,0.07783181383426672,0.1399395015402894,1.0,0.9830065369606018,0.9649415612220764
